iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.097628174	0.5833333333	0.3333333333	0.5833333333
1	1.094479399	0.5	0.7058823529	0.6086956522
2	1.092505744	0.5263157895	0.7058823529	0.75
3	1.091154508	0.7619047619	0.7777777778	0.8571428571
4	1.089130846	0.7619047619	0.7777777778	0.8571428571
5	1.08475733	0.7619047619	0.7777777778	0.8571428571
6	1.081850364	0.7619047619	0.7777777778	0.8571428571
7	1.080087681	0.7619047619	0.7777777778	0.8571428571
8	1.078676501	0.7619047619	0.7777777778	0.8571428571
9	1.076801102	0.7619047619	0.7777777778	0.8571428571
10	1.0760177	0.7619047619	0.7777777778	0.8571428571
11	1.075020605	0.7	0.7368421053	0.8571428571
12	1.074268982	0.8181818182	0.8421052632	0.9473684211
13	1.070969358	0.8181818182	0.8421052632	0.9473684211
14	1.068607231	0.8695652174	0.8888888889	0.9473684211
15	1.063544199	0.8695652174	0.8888888889	0.9473684211
16	1.061777584	0.8695652174	0.8888888889	0.9473684211
17	1.060710794	0.8695652174	0.8888888889	0.9473684211
18	1.059417307	0.8695652174	0.8888888889	0.9473684211
19	1.056517402	0.8695652174	0.8888888889	0.9473684211
20	1.054688837	0.8695652174	0.8888888889	0.9473684211
21	1.053182517	0.9166666667	0.8888888889	1
22	1.051387632	0.8695652174	0.8888888889	0.9473684211
23	1.048315901	0.8695652174	0.8888888889	0.9473684211
24	1.047478813	0.8695652174	0.8888888889	0.9473684211
25	1.044314716	0.8695652174	0.8888888889	0.9473684211
26	1.04303921	0.8695652174	0.8888888889	0.9473684211
27	1.038713493	0.9090909091	0.9473684211	0.9473684211
28	1.037274696	0.9090909091	0.9473684211	0.9473684211
29	1.034191889	0.9090909091	0.9473684211	0.9473684211
30	1.032463523	0.8695652174	0.8888888889	0.9473684211
31	1.028703373	0.9565217391	0.9473684211	1
32	1.026655914	0.9565217391	0.9473684211	1
33	1.025677359	0.9565217391	0.9473684211	1
34	1.022805657	0.9565217391	0.9473684211	1
35	1.020825176	0.9565217391	0.9473684211	1
36	1.017912908	0.9565217391	0.9473684211	1
37	1.017451524	0.9565217391	0.9473684211	1
38	1.01549611	0.9565217391	0.9473684211	1
39	1.013971029	0.9565217391	0.9473684211	1
40	1.009273452	0.9565217391	0.9473684211	1
41	1.007854305	0.9565217391	0.9473684211	1
42	1.006860994	0.9565217391	0.9473684211	1
43	1.005922724	0.9565217391	0.9473684211	1
44	1.004719363	0.9565217391	0.9473684211	1
45	1.003230177	0.9565217391	0.9473684211	1
46	1.001562006	0.9565217391	0.9473684211	1
47	0.9990106698	0.9565217391	0.9473684211	1
48	0.9964235356	0.9565217391	0.9473684211	1
49	0.9953543215	0.9565217391	0.9473684211	1
